Local Authority,Grant total (January 2022)
,
South Tyneside,27
Halton,29
,
Cheshire West and Chester,12
Disley Parish,1
Lancaster,10
Liverpool,68
West Lancashire,16
,
Craven,7
East Riding of Yorkshire,7
Hovingham Parish,1
Ryedale,10
,
Amber Valley,8
Blaby,12
Bolsover,4
Boston,15
City of Lincoln,8
East Lindsey         ,11
Gedling,16
Hinckley and Bosworth,12
Kettering,6
North West Leicestershire,8
Nottingham,15
Oadby and Wigston,15
Rushcliffe,8
South Derbyshire,8
South Kesteven,6
West Lindsey,2
,
Coventry,401
Derbyshire,20
Kinver Parish,1
Wychavon,8
,
Bedford,15
Braintree,16
Great Yarmouth,10
Luton,11
South Norfolk,10
Saint Albans ,8
St Edmundsbury ,22
Welwyn Parish,1
West Suffolk,8
,
City of London ,16
Camden,42
Enfield,23
Hammersmith and Fulham,94
Harrow,24
Islington,14
Lambeth,28
Richmond Upon Thames,70
Southwark ,133
Waltham Forest,65
Kensington and Chelsea,147
,
Basingstoke and Deane,3
Brighton and Hove,205
Buckinghamshire,20
Canterbury,9
Chichester,8
Cranbrook and Sissinghurst Parish,3
Hampshire,50
Portsmouth,36
Reading,18
Tadley Town,1
Test Valley,10
West Berkshire,36
,
Broadhembury Parish,1
Camelford Town,2
Lyme Regis Town,3
Swindon,11
,
Cardiff,10
Carmarthenshire,14
Powys,16
Swansea,10
,
Dumfries & Galloway,9
Dundee,9
East Lothian,19
Stirling,6
,
