ONS Code,Revenue Expenditure (£)
E06000022,"232,973"
E06000023,"877,235"
E06000025,"453,134"
E06000024,"255,821"
E06000032,"369,801"
E06000055,"274,696"
E06000056,"397,573"
E06000036,"230,645"
E06000037,"265,919"
E06000038,"257,551"
E06000039,"203,895"
E06000040,"190,458"
E06000041,"239,974"
E06000042,"406,793"
E06000060,"969,834"
E06000031,"307,281"
E10000003,"757,701"
E07000008,"21,073"
E07000009,"13,911"
E07000010,"19,994"
E07000012,"30,000"
E07000011,"28,090"
E06000006,"208,562"
E06000007,"293,670"
E06000049,"512,851"
E06000050,"659,917"
E06000001,"160,635"
E06000002,"228,579"
E06000003,"190,638"
E06000004,"286,390"
E06000052,"791,282"
E10000006,"776,248"
E07000026,"16,448"
E07000027,"11,519"
E07000028,"16,590"
E07000029,"12,641"
E07000031,"16,845"
E06000015,"370,995"
E10000007,"1,012,363"
E07000032,"20,657"
E07000033,"16,293"
E07000034,"13,166"
E07000035,"18,169"
E07000036,"14,494"
E07000037,"12,675"
E07000038,"15,625"
E07000039,"16,010"
E06000026,"335,592"
E06000027,"202,131"
E10000008,"1,047,187"
E07000040,"23,394"
E07000041,"16,965"
E07000042,"14,434"
E07000043,"17,534"
E07000044,"13,588"
E07000045,"26,071"
E07000046,"10,972"
E07000047,"9,769"
E06000059,"523,708"
E06000058,"473,529"
E06000005,"139,068"
E06000047,"894,932"
E06000043,"532,338"
E10000011,"769,037"
E07000061,"15,146"
E07000062,"20,211"
E07000063,"17,519"
E07000064,"18,522"
E07000065,"31,656"
E06000033,"230,647"
E06000034,"198,405"
E10000012,"1,677,339"
E07000066,"27,602"
E07000067,"22,966"
E07000068,"6,952"
E07000069,"13,698"
E07000070,"28,524"
E07000071,"26,343"
E07000072,"23,787"
E07000073,"12,885"
E07000074,"11,168"
E07000075,"12,354"
E07000076,"22,483"
E07000077,"17,818"
E10000013,"818,771"
E07000078,"14,795"
E07000079,"17,258"
E07000080,"13,988"
E07000081,"16,274"
E07000082,"23,107"
E07000083,"12,638"
E06000044,"328,727"
E06000045,"417,067"
E10000014,"1,928,075"
E07000084,"23,237"
E07000085,"16,613"
E07000086,"14,597"
E07000087,"17,073"
E07000088,"12,533"
E07000089,"14,569"
E07000090,"14,891"
E07000091,"33,932"
E07000092,"13,735"
E07000093,"18,225"
E07000094,"27,132"
E06000019,"285,826"
E10000034,"710,233"
E07000234,"15,058"
E07000236,"11,903"
E07000237,"13,837"
E07000238,"22,622"
E07000239,"14,204"
E07000235,"11,119"
E10000015,"1,680,702"
E07000095,"9,641"
E07000096,"16,653"
E07000242,"22,173"
E07000098,"20,216"
E07000099,"20,193"
E07000240,"20,525"
E07000243,"13,955"
E07000102,"13,242"
E07000103,"15,673"
E07000241,"16,946"
E06000011,"527,504"
E06000010,"383,612"
E06000012,"209,472"
E06000013,"258,373"
E06000046,"283,794"
E10000016,"2,087,644"
E07000105,"18,732"
E07000106,"24,826"
E07000107,"17,263"
E07000108,"20,555"
E07000110,"23,413"
E07000111,"26,814"
E07000112,"23,528"
E07000113,"25,414"
E07000114,"21,368"
E07000115,"22,688"
E07000116,"20,181"
E06000008,"283,657"
E06000009,"244,592"
E10000017,"2,028,554"
E07000117,"15,587"
E07000118,"17,190"
E07000119,"17,478"
E07000120,"14,265"
E07000121,"27,054"
E07000122,"18,258"
E07000123,"24,692"
E07000124,"8,403"
E07000125,"8,903"
E07000126,"19,055"
E07000127,"17,048"
E07000128,"17,160"
E06000016,"660,519"
E06000017,"51,275"
E10000018,"748,923"
E07000129,"18,257"
E07000130,"23,469"
E07000131,"15,229"
E07000132,"14,374"
E07000133,"8,484"
E07000134,"18,971"
E07000135,"7,225"
E10000019,"875,311"
E07000136,"10,904"
E07000137,"36,964"
E07000138,"16,880"
E07000139,"17,132"
E07000140,"13,268"
E07000141,"17,447"
E07000142,"17,957"
E10000020,"1,166,375"
E07000143,"22,466"
E07000144,"17,672"
E07000145,"17,236"
E07000146,"23,018"
E07000147,"18,846"
E07000148,"21,216"
E07000149,"20,079"
E06000014,"227,808"
E10000023,"1,008,540"
E07000163,"8,574"
E07000164,"12,239"
E07000166,"7,460"
E07000168,"27,003"
E07000165,"33,544"
E07000167,"17,151"
E07000169,"17,840"
E06000061,"429,789"
E06000062,"490,283"
E06000057,"511,900"
E06000018,"546,981"
E10000024,"1,008,484"
E07000170,"13,910"
E07000171,"15,684"
E07000172,"12,694"
E07000173,"15,098"
E07000174,"9,777"
E07000175,"25,485"
E07000176,"15,115"
E10000025,"806,801"
E07000177,"29,002"
E07000178,"25,068"
E07000179,"34,163"
E07000180,"20,691"
E07000181,"13,639"
E06000020,"292,529"
E10000027,"686,375"
E07000187,"20,251"
E07000188,"20,157"
E07000189,"24,808"
E07000246,"21,977"
E06000021,"372,538"
E10000028,"969,004"
E07000192,"16,310"
E07000193,"16,417"
E07000194,"16,005"
E07000195,"15,207"
E07000196,"17,571"
E07000197,"18,854"
E07000198,"12,100"
E07000199,"8,238"
E10000029,"911,782"
E07000200,"13,759"
E07000202,"25,976"
E07000203,"12,843"
E07000244,"56,311"
E07000245,"26,020"
E10000030,"1,576,595"
E07000207,"24,006"
E07000208,"10,219"
E07000209,"14,369"
E07000210,"11,133"
E07000211,"16,805"
E07000212,"14,118"
E07000213,"9,308"
E07000214,"13,439"
E07000215,"10,594"
E07000216,"18,572"
E07000217,"22,576"
E10000031,"732,407"
E07000218,"10,510"
E07000219,"17,774"
E07000220,"15,953"
E07000221,"22,615"
E07000222,"28,140"
E10000032,"1,222,677"
E07000223,"10,581"
E07000224,"27,761"
E07000225,"24,342"
E07000226,"15,583"
E07000227,"17,587"
E07000228,"22,670"
E07000229,"15,761"
E06000030,"288,879"
E06000054,"918,174"
E06000053,"5,613"
E08000001,"502,502"
E08000002,"324,978"
E08000003,"1,065,563"
E08000004,"447,422"
E08000005,"456,314"
E08000006,"490,847"
E08000007,"494,912"
E08000008,"414,090"
E08000009,"363,807"
E08000010,"545,814"
E08000011,"323,712"
E08000012,"999,097"
E08000013,"338,462"
E08000014,"473,480"
E08000015,"557,358"
E08000016,"420,146"
E08000017,"417,657"
E08000018,"362,273"
E08000019,"898,760"
E08000037,"362,677"
E08000021,"488,649"
E08000022,"392,542"
E08000023,"300,011"
E08000024,"427,989"
E08000025,"2,007,628"
E08000026,"525,548"
E08000027,"483,203"
E08000028,"624,680"
E08000029,"329,324"
E08000030,"519,808"
E08000031,"449,890"
E08000032,"857,808"
E08000033,"310,664"
E08000034,"658,291"
E08000035,"1,265,695"
E08000036,"509,569"
E09000001,"226,339"
E09000007,"505,504"
E09000011,"518,030"
E09000012,"592,783"
E09000013,"299,320"
E09000019,"462,580"
E09000020,"325,472"
E09000022,"601,168"
E09000023,"676,138"
E09000028,"604,361"
E09000030,"702,100"
E09000032,"415,195"
E09000033,"352,402"
E09000002,"457,054"
E09000003,"574,722"
E09000004,"291,374"
E09000005,"545,453"
E09000006,"356,706"
E09000008,"592,031"
E09000009,"730,535"
E09000010,"582,105"
E09000014,"489,622"
E09000015,"372,851"
E09000016,"325,873"
E09000017,"439,314"
E09000018,"449,951"
E09000021,"245,046"
E09000024,"402,379"
E09000025,"619,866"
E09000026,"550,421"
E09000027,"310,211"
E09000029,"303,381"
E09000031,"461,578"
E12000007,"9,207,457"
E31000001,"49,249"
E31000002,"31,354"
E31000003,"37,907"
E31000004,"30,493"
E31000005,"34,746"
E31000006,"52,204"
E31000007,"30,465"
E31000010,"41,162"
E31000013,"31,548"
E31000014,"41,749"
E31000015,"82,181"
E31000018,"35,056"
E31000020,"45,081"
E31000022,"86,659"
E31000023,"62,255"
E31000024,"39,810"
E31000027,"35,658"
E31000028,"27,008"
E31000030,"45,349"
E31000032,"27,679"
E31000041,"69,182"
E31000042,"60,308"
E31000043,"53,247"
E31000044,"116,554"
E31000045,"89,349"
E31000011,"92,960"
E31000047,"64,069"
E31000048,"78,287"
E50000001,"24,519"
E50000006,"2,753"
E50000002,"4,157"
E50000004,"4,810"
E50000003,"2,898"
E47000007,"169,125"
E47000001,"966,206"
E47000004,"117,616"
E47000002,"14,787"
E47000010,"52,064"
E47000003,"59,121"
E47000009,"51,647"
E47000006,"137,335"
E47000008,"31,191"
E47000011,"59,382"
E26000001,"4,056"
E26000002,"3,211"
E26000011,"5,349"
E26000005,"4,539"
E26000004,"2,721"
E26000006,"6,422"
E26000012,"6,174"
E26000007,"3,739"
E26000009,"3,301"
E26000010,"10,669"
E23000026,"137,955"
E23000023,"164,164"
E23000006,"225,997"
E23000013,"155,945"
E23000002,"122,053"
E23000018,"210,217"
E23000039,"157,095"
E23000008,"139,350"
E23000028,"337,721"
E23000037,"139,444"
E23000027,"238,149"
E23000012,"217,795"
E23000003,"330,466"
E23000021,"216,915"
E23000020,"139,642"
E23000024,"200,025"
E23000009,"172,068"
E23000022,"154,303"
E23000019,"235,157"
E23000015,"222,050"
E23000025,"144,429"
E23000031,"261,721"
E23000017,"115,789"
E23000038,"139,805"
E23000004,"386,861"
E23000011,"298,170"
E23000007,"333,590"
E23000014,"732,277"
E23000010,"578,549"
E23000036,"369,636"
E23000035,"352,033"
E23000030,"378,986"
E23000033,"332,400"
E23000029,"501,545"
E23000016,"250,561"
